filename,lat,lon,mode_label,land_cover_label
data sentinel_downloads tile_28.2057_76.8557.tif,28.2057,76.8557,50,Built-up
data sentinel_downloads tile_28.2057_76.8787.tif,28.2057,76.8787,50,Built-up
data sentinel_downloads tile_28.2057_76.8902.tif,28.2057,76.8902,40,Cropland
data sentinel_downloads tile_28.2057_76.9017.tif,28.2057,76.9017,40,Cropland
data sentinel_downloads tile_28.2057_76.9132.tif,28.2057,76.9132,40,Cropland
data sentinel_downloads tile_28.2057_76.9247.tif,28.2057,76.9247,40,Cropland
data sentinel_downloads tile_28.2057_76.9362.tif,28.2057,76.9362,40,Cropland
data sentinel_downloads tile_28.2057_76.9477.tif,28.2057,76.9477,40,Cropland
data sentinel_downloads tile_28.2057_76.9592.tif,28.2057,76.9592,40,Cropland
data sentinel_downloads tile_28.2057_76.9707.tif,28.2057,76.9707,40,Cropland
data sentinel_downloads tile_28.2057_76.9822.tif,28.2057,76.9822,40,Cropland
data sentinel_downloads tile_28.2057_76.9937.tif,28.2057,76.9937,40,Cropland
data sentinel_downloads tile_28.2057_77.0052.tif,28.2057,77.0052,40,Cropland
data sentinel_downloads tile_28.2057_77.0167.tif,28.2057,77.0167,40,Cropland
data sentinel_downloads tile_28.2057_77.0282.tif,28.2057,77.0282,20,Shrubland
data sentinel_downloads tile_28.2057_77.0397.tif,28.2057,77.0397,30,Grassland
data sentinel_downloads tile_28.2057_77.0512.tif,28.2057,77.0512,40,Cropland
data sentinel_downloads tile_28.2057_77.0627.tif,28.2057,77.0627,50,Built-up
data sentinel_downloads tile_28.2057_77.0742.tif,28.2057,77.0742,40,Cropland
data sentinel_downloads tile_28.2057_77.0857.tif,28.2057,77.0857,40,Cropland
data sentinel_downloads tile_28.2057_77.0972.tif,28.2057,77.0972,40,Cropland
data sentinel_downloads tile_28.2057_77.1087.tif,28.2057,77.1087,40,Cropland
data sentinel_downloads tile_28.2057_77.1202.tif,28.2057,77.1202,40,Cropland
data sentinel_downloads tile_28.2057_77.1317.tif,28.2057,77.1317,40,Cropland
data sentinel_downloads tile_28.2057_77.1432.tif,28.2057,77.1432,40,Cropland
data sentinel_downloads tile_28.2057_77.1547.tif,28.2057,77.1547,40,Cropland
data sentinel_downloads tile_28.2057_77.1662.tif,28.2057,77.1662,40,Cropland
