filename,lat,lon,mode_class,confidence
data sentinel_downloads tile_28.2057_77.3847.tif,28.2057,77.3847,40,0.939
data sentinel_downloads tile_28.2057_77.5801.tif,28.2057,77.5801,40,0.937
data sentinel_downloads tile_28.2057_76.9132.tif,28.2057,76.9132,40,0.482
data sentinel_downloads tile_28.2057_76.9707.tif,28.2057,76.9707,40,0.865
data sentinel_downloads tile_28.2057_77.2352.tif,28.2057,77.2352,40,0.921
data sentinel_downloads tile_28.2172_77.0512.tif,28.2172,77.0512,40,0.807
data sentinel_downloads tile_28.2057_77.1662.tif,28.2057,77.1662,40,0.797
data sentinel_downloads tile_28.2057_77.0972.tif,28.2057,77.0972,40,0.832
data sentinel_downloads tile_28.2057_77.2122.tif,28.2057,77.2122,40,0.507
data sentinel_downloads tile_28.2057_77.2007.tif,28.2057,77.2007,40,0.926
data sentinel_downloads tile_28.2172_76.9132.tif,28.2172,76.9132,40,0.677
Copy of data sentinel_downloads tile_28.2172_77.1202.tif,28.2172,77.1202,40,0.912
data sentinel_downloads tile_28.2057_76.9477.tif,28.2057,76.9477,40,0.696
data sentinel_downloads tile_28.2172_77.1317.tif,28.2172,77.1317,40,0.738
data sentinel_downloads tile_28.2057_77.2927.tif,28.2057,77.2927,40,0.901
data sentinel_downloads tile_28.2057_77.0052.tif,28.2057,77.0052,40,0.832
data sentinel_downloads tile_28.2057_77.0742.tif,28.2057,77.0742,40,0.787
data sentinel_downloads tile_28.2057_77.1892.tif,28.2057,77.1892,40,0.927
data sentinel_downloads tile_28.2172_76.9937.tif,28.2172,76.9937,40,0.89
data sentinel_downloads tile_28.2057_77.1087.tif,28.2057,77.1087,40,0.839
data sentinel_downloads tile_28.2057_77.2697.tif,28.2057,77.2697,40,0.89
data sentinel_downloads tile_28.2057_77.5227.tif,28.2057,77.5227,40,0.89
Copy of data sentinel_downloads tile_28.2172_77.1892.tif,28.2172,77.1892,40,0.911
data sentinel_downloads tile_28.2057_77.4652.tif,28.2057,77.4652,40,0.681
data sentinel_downloads tile_28.2172_76.9707.tif,28.2172,76.9707,40,0.808
data sentinel_downloads tile_28.2057_77.0397.tif,28.2057,77.0397,40,0.766
data sentinel_downloads tile_28.2057_76.9937.tif,28.2057,76.9937,40,0.82
data sentinel_downloads tile_28.2057_77.3732.tif,28.2057,77.3732,50,0.482
data sentinel_downloads tile_28.2172_77.0052.tif,28.2172,77.0052,40,0.786
data sentinel_downloads tile_28.2057_77.0857.tif,28.2057,77.0857,40,0.918
data sentinel_downloads tile_28.2057_77.0512.tif,28.2057,77.0512,40,0.818
data sentinel_downloads tile_28.2057_77.0282.tif,28.2057,77.0282,40,0.754
data sentinel_downloads tile_28.2057_76.9247.tif,28.2057,76.9247,50,0.523
data sentinel_downloads tile_28.2057_77.3042.tif,28.2057,77.3042,40,0.847
data sentinel_downloads tile_28.2057_77.6031.tif,28.2057,77.6031,40,0.817
data sentinel_downloads tile_28.2172_76.8787.tif,28.2172,76.8787,40,0.581
data sentinel_downloads tile_28.2057_77.3272.tif,28.2057,77.3272,40,0.993
data sentinel_downloads tile_28.2057_77.4077.tif,28.2057,77.4077,40,0.887
data sentinel_downloads tile_28.2172_77.0397.tif,28.2172,77.0397,40,0.796
data sentinel_downloads tile_28.2172_76.9247.tif,28.2172,76.9247,40,0.689
data sentinel_downloads tile_28.2172_76.9477.tif,28.2172,76.9477,40,0.518
data sentinel_downloads tile_28.2172_77.0857.tif,28.2172,77.0857,40,0.815
data sentinel_downloads tile_28.2057_77.3617.tif,28.2057,77.3617,50,0.516
data sentinel_downloads tile_28.2057_77.4767.tif,28.2057,77.4767,40,0.787
data sentinel_downloads tile_28.2057_77.2582.tif,28.2057,77.2582,40,0.983
data sentinel_downloads tile_28.2172_77.0627.tif,28.2172,77.0627,40,0.784
data sentinel_downloads tile_28.2057_77.4422.tif,28.2057,77.4422,50,0.476
data sentinel_downloads tile_28.2057_77.4307.tif,28.2057,77.4307,40,0.69
data sentinel_downloads tile_28.2057_77.3157.tif,28.2057,77.3157,40,0.846
data sentinel_downloads tile_28.2172_76.9362.tif,28.2172,76.9362,40,0.743
data sentinel_downloads tile_28.2057_77.0167.tif,28.2057,77.0167,40,0.724
data sentinel_downloads tile_28.2057_77.3962.tif,28.2057,77.3962,40,0.722
data sentinel_downloads tile_28.2172_76.9592.tif,28.2172,76.9592,40,0.661
data sentinel_downloads tile_28.2057_77.2237.tif,28.2057,77.2237,40,0.828
data sentinel_downloads tile_28.2057_76.9822.tif,28.2057,76.9822,40,0.546
data sentinel_downloads tile_28.2057_77.1202.tif,28.2057,77.1202,40,0.893
data sentinel_downloads tile_28.2057_76.8787.tif,28.2057,76.8787,40,0.403
data sentinel_downloads tile_28.2057_76.9592.tif,28.2057,76.9592,40,0.818
data sentinel_downloads tile_28.2057_76.9362.tif,28.2057,76.9362,50,0.442
data sentinel_downloads tile_28.2057_77.4997.tif,28.2057,77.4997,40,0.89
